source,target,rank,date,time
zHlKj_18ZKs,Xij7Q79VY14,5,28/07/2023,10:44:58
landing_page,nGxLF9ORduE,1,29/07/2023,10:09:49
landing_page,imQVT0J7rSI,2,29/07/2023,10:09:50
landing_page,V73-ynFGIsk,3,29/07/2023,10:09:50
landing_page,sQVYurENxIc,4,29/07/2023,10:09:50
landing_page,qoObpxud8xw,5,29/07/2023,10:09:51
landing_page,R-IMDXq_yOg,6,29/07/2023,10:09:51
landing_page,_SWXhAJRuYk,7,29/07/2023,10:09:51
landing_page,zml8HTnBP3w,8,29/07/2023,10:09:52
landing_page,hb_vjTJTSN4,9,29/07/2023,10:09:52
landing_page,4N-vnaeU1DA,10,29/07/2023,10:09:53
landing_page,ZOrQRO3P0fA,11,29/07/2023,10:09:53
landing_page,mV3bI9jRImA,12,29/07/2023,10:09:53
landing_page,#NAME?,13,29/07/2023,10:09:54
landing_page,pOtDeTbHwpU,14,29/07/2023,10:09:54
landing_page,1K7-adpvm-Q,15,29/07/2023,10:09:54
landing_page,ay0J8Yt9lSs,16,29/07/2023,10:09:55
landing_page,y65Luj-hBCg,17,29/07/2023,10:09:55
landing_page,8gkIHJRFJIQ,18,29/07/2023,10:09:56
landing_page,XazzBivCpkw,19,29/07/2023,10:09:56
landing_page,lxm-HR-uKz4,20,29/07/2023,10:09:56
qoObpxud8xw,83m6DYpMGCM,1,29/07/2023,10:13:17
qoObpxud8xw,K7WmgxR8t1M,2,29/07/2023,10:13:17
qoObpxud8xw,8Eya7D1cmqo,3,29/07/2023,10:13:18
qoObpxud8xw,IKBDAMrZ-jc,4,29/07/2023,10:13:18
qoObpxud8xw,1K7-adpvm-Q,5,29/07/2023,10:13:19
IKBDAMrZ-jc,IqFBd_7hrhk,1,29/07/2023,10:14:56
IKBDAMrZ-jc,htssp4TEPYc,2,29/07/2023,10:14:56
IKBDAMrZ-jc,9y47NyiaDHc,3,29/07/2023,10:14:57
IKBDAMrZ-jc,FT84dB3JHjE,4,29/07/2023,10:14:57
IKBDAMrZ-jc,Z4ljZgHXXZ4,5,29/07/2023,10:14:58
FT84dB3JHjE,LL_E4KtA0n0,1,29/07/2023,10:16:33
FT84dB3JHjE,keHtEojFI3A,2,29/07/2023,10:16:34
FT84dB3JHjE,6m74DwCt-1g,3,29/07/2023,10:16:34
FT84dB3JHjE,#NAME?,4,29/07/2023,10:16:35
FT84dB3JHjE,Z4ljZgHXXZ4,5,29/07/2023,10:16:35
LL_E4KtA0n0,kcA82Ev-DUY,1,29/07/2023,10:18:23
LL_E4KtA0n0,c0qfiepxOKo,2,29/07/2023,10:18:24
LL_E4KtA0n0,c09NwZkgoik,3,29/07/2023,10:18:25
LL_E4KtA0n0,CaEBCTxbcOo,4,29/07/2023,10:18:25
LL_E4KtA0n0,OkxlrVt9dB0,5,29/07/2023,10:18:25
c0qfiepxOKo,qvZbg0WIKis,1,29/07/2023,10:20:31
c0qfiepxOKo,iSsmEwVrmCY,2,29/07/2023,10:20:32
c0qfiepxOKo,TLIsN8_Y5Bo,3,29/07/2023,10:20:32
c0qfiepxOKo,Z4ljZgHXXZ4,4,29/07/2023,10:20:32
c0qfiepxOKo,4xRz8NavLes,5,29/07/2023,10:20:33
iSsmEwVrmCY,vSWU_xANeSk,1,29/07/2023,10:22:38
iSsmEwVrmCY,TiX9Y82qpOo,2,29/07/2023,10:22:38
iSsmEwVrmCY,WNsD8tK7Mao,3,29/07/2023,10:22:39
iSsmEwVrmCY,4CIjngW13Bw,4,29/07/2023,10:22:39
iSsmEwVrmCY,ZbYmiRIbeqw,5,29/07/2023,10:22:40
TiX9Y82qpOo,7FkLMunXoqE,1,29/07/2023,10:24:20
TiX9Y82qpOo,QaHBdgQ3zpo,2,29/07/2023,10:24:20
TiX9Y82qpOo,g81H2L5MBR4,3,29/07/2023,10:24:21
TiX9Y82qpOo,WBk55euNySs,4,29/07/2023,10:24:21
TiX9Y82qpOo,C5ci8pvNHKs,5,29/07/2023,10:24:22
C5ci8pvNHKs,dhlHkUS7rVY,1,29/07/2023,10:26:30
C5ci8pvNHKs,KwwjehbP2fw,2,29/07/2023,10:26:31
C5ci8pvNHKs,k0zmYtPF5ms,3,29/07/2023,10:26:31
C5ci8pvNHKs,JOy0jQbvpPQ,4,29/07/2023,10:26:32
C5ci8pvNHKs,zKMWyEMftKQ,5,29/07/2023,10:26:32
KwwjehbP2fw,cpXneGhJFnU,1,29/07/2023,10:28:50
KwwjehbP2fw,Jqj3hLPhELQ,2,29/07/2023,10:28:51
KwwjehbP2fw,bDjTW9j9OEY,3,29/07/2023,10:28:51
KwwjehbP2fw,1xVcdOYn2ac,4,29/07/2023,10:28:52
KwwjehbP2fw,nJ3mowmxCkU,5,29/07/2023,10:28:52
nJ3mowmxCkU,X6PkqjAMTLQ,1,29/07/2023,10:30:49
nJ3mowmxCkU,1RoJu_7HWTU,2,29/07/2023,10:30:49
nJ3mowmxCkU,OsD5-qWkZZU,3,29/07/2023,10:30:49
nJ3mowmxCkU,cpXneGhJFnU,4,29/07/2023,10:30:50
nJ3mowmxCkU,FgwyB-TiY7I,5,29/07/2023,10:30:50
cpXneGhJFnU,W98BsRQyQM4,1,29/07/2023,10:32:53
cpXneGhJFnU,U1IzAF0g7c8,2,29/07/2023,10:32:53
cpXneGhJFnU,xJTdiiH90EY,3,29/07/2023,10:32:54
cpXneGhJFnU,W79EoZe89iU,4,29/07/2023,10:32:54
cpXneGhJFnU,gXqKSJlVNYU,5,29/07/2023,10:32:54
W98BsRQyQM4,KMe-Znm_CBo,1,29/07/2023,10:35:37
W98BsRQyQM4,w5RXETWQXtY,2,29/07/2023,10:35:37
W98BsRQyQM4,F27h_O9N3IU,3,29/07/2023,10:35:38
W98BsRQyQM4,LPkHnQsRLFA,4,29/07/2023,10:35:38
W98BsRQyQM4,gZOBkF7RoEQ,5,29/07/2023,10:35:39
gZOBkF7RoEQ,c09NwZkgoik,1,29/07/2023,10:37:30
gZOBkF7RoEQ,o_twH7YnUmk,2,29/07/2023,10:37:30
gZOBkF7RoEQ,LMwvwhv2BbE,3,29/07/2023,10:37:31
gZOBkF7RoEQ,k-sxDI-H-k4,4,29/07/2023,10:37:32
gZOBkF7RoEQ,4S4_vVvBLvY,5,29/07/2023,10:37:32
